Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3
1,A2B,Mg2Ni1-yBey,3.9,71 - 80,337,5-Mar,"Lupu, 1982",419,(y = 0.15-0.25),,
2,A2B,Mg2Ni1-yCuy,2.6,53 - 73,300,3.5 - 8,"Darnaudery, 1983",417,(y = 0-1),,
3,A2B,Pr2Al,1.4,,,,"Semenenko, 1985",1151,,(Amorp),
4,A2B,Th1.5Ce.5Al,0.4,133,650,0.0003,"Van Vucht, 1963",492,,,
5,A2B,Th2Al,0.8,130,500,0.001,"Van Vucht, 1963",492,,,
6,A2B,Th2Al,0.8,,,,"Sorby, 2000",1235,,,
7,A2B,Th2Al,3.9,,50,9-Oct,"Buschow, 1982",283,,,
8,A2B,Ti2Al,1.2,,,,"Semenenko, 1982",532,,,
9,A2B,Ti2Co,0.2,,,,"Beck, 1962",45,,,
10,A2B,Ti2Co,2.1,,,,"Verbetsky, 1986",1153,,,
11,A2B,Ti2Co (M),1.7,,,,"Mintz, 1980",3,,,
12,A2B,Ti2CoOx,1.7,,,,"Mintz, 1980",3,(x = 0.18-0.33),,
13,A2B,Ti2Cr,0.9,,,,"Beck, 1962",45,(O-stabilized),,
14,A2B,Ti2Cu,1,,500,0.02,"Arita, 1979",495,,,
15,A2B,Ti2Cu,1.7,,,,"Maeland, 1978",389,,,
16,A2B,Ti2Cu,1.8,,,,"Padurets, 1982",498,,,
17,A2B,Ti2Cu,2.2,,,,"Beck, 1962",45,,,
18,A2B,Ti2Cu (M),2.2,130,500,0.12,"Kadel, 1978",523,,,
19,A2B,Ti2Fe,0.4,,,,"Beck, 1962",45,(O-stabilized),,
20,A2B,Ti2FeO.3,0.5,,,,"Mintz, 1980",3,,,
21,A2B,Ti2FeO.5,0.7,,,,"Stioui, 1981",493,,,
22,A2B,Ti2Mn,0.9,,,,"Beck, 1962",45,(O-stabilized),,
23,A2B,Ti2Ni,1.9,,,,"Beck, 1962",45,,,
24,A2B,Ti2Ni,2,,,,"Padurets, 1982",498,,(Dp>300 C),
25,A2B,Ti2Ni,2.2,,,,"Yamanaka, 1975",73,,,
26,A2B,Ti2Ni (M),1.6,,150,0.11,"Buchner, 1972",71,,,
27,A2B,Ti2Ni (M),1.7,,,,"Mintz, 1980",3,,,
28,A2B,Ti2NiO.3,1.1,,,,"Mintz, 1980",3,,,
29,A2B,Ti2NiOx,1,,,,"Mintz, 1979",441,,,
30,A2B,Ti2Pd,1.4,90,,,"Kadel, 1978",523,,,
31,A2B,Ti2Pd,1,,,,"Maeland, 1980",428,,,
32,A2B,Ti2Pd.5Cu.5,85,,,,"Kadel, 1978",523,,,
33,A2B,Ti2Pt,0.4,,,,"Beck, 1962",45,(O-stabilized),,
34,A2B,Y2Al,1.4,,,,"Semenenko, 1985",1151,,(Amorp),
35,A2B,Zr2Co,1.9,,,,"van Essen, 1979",386,,,
36,A2B,Zr2Cr,1.3,,,,"Beck, 1962",45,(O-stabilized),,
37,A2B,Zr2Cu,1.7,,,,"Maeland, 1980",428,,,
38,A2B,Zr2Cu (M),1.3,144,600,0.003,"Pebler, 1966",12,,,
39,A2B,Zr2Cu (M),1.3,142,700,0.02,"Kadel, 1979",429,,,
40,A2B,Zr2Fe,1.7,,,,"van Essen, 1979",386,,,
41,A2B,Zr2Fe,2.1,,,,"Yartys, 1998",1225,,(Dp>400Â°C),
42,A2B,Zr2Fe(B2O3).1,1.7,,,,"Zavaliy, 1998",829,,,
43,A2B,Zr2FeO.3,1.5,,,,"Zavaliy, 1998",829,,,
